home,score,away,year
Qatar,Match 1,Ecuador,2022
Senegal,Match 2,Netherlands,2022
Qatar,Match 18,Senegal,2022
Netherlands,Match 19,Ecuador,2022
Ecuador,Match 35,Senegal,2022
Netherlands,Match 36,Qatar,2022
England,Match 3,Iran,2022
United States,Match 4,Wales,2022
Wales,Match 17,Iran,2022
England,Match 20,United States,2022
Wales,Match 33,England,2022
Iran,Match 34,United States,2022
Argentina,Match 8,Saudi Arabia,2022
Mexico,Match 7,Poland,2022
Poland,Match 22,Saudi Arabia,2022
Argentina,Match 24,Mexico,2022
Poland,Match 39,Argentina,2022
Saudi Arabia,Match 40,Mexico,2022
Denmark,Match 6,Tunisia,2022
France,Match 5,Australia,2022
Tunisia,Match 21,Australia,2022
France,Match 23,Denmark,2022
Australia,Match 37,Denmark,2022
Tunisia,Match 38,France,2022
Germany,Match 11,Japan,2022
Spain,Match 10,Costa Rica,2022
Japan,Match 25,Costa Rica,2022
Spain,Match 28,Germany,2022
Japan,Match 43,Spain,2022
Costa Rica,Match 44,Germany,2022
Morocco,Match 12,Croatia,2022
Belgium,Match 9,Canada,2022
Belgium,Match 26,Morocco,2022
Croatia,Match 27,Canada,2022
Croatia,Match 41,Belgium,2022
Canada,Match 42,Morocco,2022
Switzerland,Match 13,Cameroon,2022
Brazil,Match 16,Serbia,2022
Cameroon,Match 29,Serbia,2022
Brazil,Match 31,Switzerland,2022
Serbia,Match 47,Switzerland,2022
Cameroon,Match 48,Brazil,2022
Uruguay,Match 14,South Korea,2022
Portugal,Match 15,Ghana,2022
South Korea,Match 30,Ghana,2022
Portugal,Match 32,Uruguay,2022
Ghana,Match 45,Uruguay,2022
South Korea,Match 46,Portugal,2022
Netherlands,Match 49,United States,2022
Argentina,Match 50,Australia,2022
France,Match 52,Poland,2022
England,Match 51,Senegal,2022
Japan,Match 53,Croatia,2022
Brazil,Match 54,South Korea,2022
Morocco,Match 55,Spain,2022
Portugal,Match 56,Switzerland,2022
Croatia,Match 58,Brazil,2022
Netherlands,Match 57,Argentina,2022
Morocco,Match 60,Portugal,2022
England,Match 59,France,2022
Argentina,Match 61,Croatia,2022
France,Match 62,Morocco,2022
Losers Match 61,Match 63,Losers Match 62,2022
Winners Match 61,Match 64,Winners Match 62,2022
